MINIO_ID,PANDAPOWER_ID
58775,134630
14622,135262
28902,135941
16189,72822
45130,73368
12770,73852
41423,74576
54516,74697
32954,74867
21706,74928
28148,74933
20415,75357
4648,75707
49939,76233
25913,76681
35666,76682
19565,76808
18255,77338
51517,77339
45388,77620
53790,77655
24109,78565
25292,78995
62301,80685
20387,80747
5111,80886
18558,80920
34606,80925
40805,80935
36321,80952
4513,80969
21986,81520
44527,82154
58531,82641
18285,83227
4251,83801
29225,84393
41230,86333
63181,86343
58749,86673
34918,87001
54134,87214
18940,87245
53781,87427
61086,87701
59474,87859
55913,88002
38137,88314
40288,88798
12677,88826
21523,88900
49731,88928
34268,88929
35845,89135
60807,89465
58441,89560
43455,89561
20953,90505
21126,90749
7264,90754
22108,91145
37806,91203
48385,91339
59327,91340
2039,91446
40294,91524
59734,91590
54274,91631
6463,92088
7830,92141
3397,92166
59907,92620
215,93073
13080,93120
52271,93167
13656,93598
46849,94341
13909,94342
1409,94343
16503,94344
23783,94345
17603,94413
24249,94622
11267,94974
18237,94992
29748,95538
60150,95720
4681,95875
12289,96151
34849,98788
24436,98798
10468,99771
8860,99907
46850,99968
18207,100286
13498,100734
30679,100880
55707,101132
34057,101133
8743,101349
12463,101416
9228,101632
22107,101874
29292,102064
34499,102220
48699,102223
61766,102224
51985,102242
28696,102248
59086,102278
8706,102292
16008,102293
59805,102319
43886,102403
19846,102430
33962,102431
53893,102586
61934,103564
26003,105203
43081,105415
36458,105580
2599,106391
51949,106494
20503,107535
23341,107896
44306,108213
13079,108428
38344,108561
33930,109101
10966,109632
52516,109633
59869,109853
6004,110798
60783,111058
53095,111214
47816,111935
27744,112089
8583,112615
33480,112728
8522,112786
17031,112880
2078,113433
35255,113951
42290,114101
36167,114187
26059,114191
49275,114536
39041,114852
49649,114854
26884,116615
17334,117076
21053,117088
25389,118415
45875,118694
27482,120031
50252,120625
9614,121063
2913,121167
1777,121413
48547,121450
5443,121460
12495,121461
29200,121462
61995,121463
48489,121476
41511,121501
8087,121507
8365,121629
18618,121945
38409,122045
23510,122091
25561,122192
42654,122231
1277,122650
4334,122703
30689,123100
11241,124974
52193,125151
58128,125864
28523,125990
3153,126343
47020,126622
43444,127654
37266,127836
39375,128172
45631,128174
41907,129855
24065,131573
8630,132691
10382,132788
53662,132977
25879,133414
48346,133413
1010025064,134745
1010031319,136779
1010051481,137008
1010063142,137205
1010067008,137226
1010071588,137241
1010071655,137240
1010072098,137258
1010072608,137262
1010072848,137264
1010073025,137276
1010073989,137297
1010074818,137306
1010076292,137341
1010079279,137409
1010079414,137410
1010082653,137522
1010084869,137609
1010105518,138032
1010110733,138025
1010246912,138433
1010249734,138500
1010258367,138752
1010285081,140441
2831,120604
422,127923
6944,129965
47464,131793
47045,91440
12285,86138
16736,108024
31051,86136
58735,86139
47191,86192
31110,90410
18232,90629
48342,91648
24221,101145
5487,88124
21970,97390
47005,135493
45002,82133
57099,90335
38467,81985
41224,82769
37375,87953
59551,88652
7258,94117
9854,123294
4471,125938
1010328980,140753
24958,90251
35577,93353
253,94130
41015,98806
60416,99374
4353,96061
